bms_E,minus_log_prob_tree,expression
15.8850878831694,13.266636866560754, pow3((_a5_ ** _a1_))
18.0863257059204,16.904223026287138, (exp(log(_a4_)) * _a8_)
31.6669740890623,23.537541459567514, tan((_a6_ / (_a2_ ** cos(_a5_))))
24.5999591302678,23.537541459567514, (log((_a9_ / _a6_)) * cos(_a6_))
43.7496991358958,19.899955299841128, (_a3_ ** (_a2_ + sin(_a9_)))
12.2292056839498,13.266636866560754, (-(_a3_) + _a4_)
68.8934964670021,21.18366307218592, pow2(fac(pow3(sinh(pow2(_a3_)))))
63.1314527998453,33.808446052574276, ((_a1_ * _a1_) ** (log(cosh(_a7_)) + fac(_a1_)))
66.6373614266970,28.45883539163869, log(fac(fac(abs((sqrt(_a2_) + x)))))
58.1371732900384,17.546076912459533, cos(cos(-(fac(_a6_))))
37.9882280381944,27.1751276192939, (_a9_ + (_a6_ ** tan(pow2(tanh(_a3_)))))
61.5090445415133,10.270904593006762, cosh(cos(_a8_))
35.1938829999993,10.270904593006762, sin(abs(_a9_))
16.2074017013494,10.270904593006762, cos(tan(_a6_))
40.7041248213083,13.908490752733147, pow2(abs(fac(_a7_)))
12.7202575713369,13.266636866560754, (_a9_ * log(_a2_))
14.3823061770364,10.270904593006762, sin(sin(_a2_))
35.0584739678599,17.546076912459533, -(abs(-(fac(_a7_))))
62.5523905560785,16.904223026287138, (fac(_a0_) ** log(_a8_))
22.9125272292464,16.904223026287138, (tan(_a3_) + exp(_a9_))
65.1578215115611,19.899955299841128, (cosh(_a1_) + (_a3_ ** _a4_))
35.7824166076421,13.266636866560754, (_a6_ / fac(_a6_))
34.0117330148509,10.270904593006762, sinh(pow2(_a6_))
38.4020872499487,17.546076912459533, -(abs(fac(abs(_a1_))))
70.1252866246809,20.541809186013523, exp((fac(_a9_) / fac(_a4_)))
26.0674101389394,20.541809186013523, (_a2_ + cos(cos(log(_a0_))))
38.0351780802335,16.904223026287138, pow2((exp(_a5_) + _a7_))
50.0489393599448,16.904223026287138, exp(sin((_a0_ + _a9_)))
61.5216595785191,17.546076912459533, fac(pow2(pow3(-(_a4_))))
79.5044176047787,42.36732614437184, tanh((sqrt(abs(sqrt(_a0_))) ** sqrt(abs((sqrt(x) / _a1_)))))
58.4420367325263,24.17939534573991, tanh(fac((_a0_ + pow2(sinh(_a2_)))))
15.9433455293107,13.266636866560754, tanh((_a4_ * _a7_))
24.0190318743688,16.904223026287138, (_a2_ / tan(pow3(_a6_)))
35.8877526577036,10.270904593006762, log(cosh(_a4_))
18.7524905163738,13.908490752733147, tanh(log(-(_a5_)))
83.3531432081095,27.816981505466295, pow3(tanh(exp(abs(abs((_a3_ ** _a8_))))))
41.1333955705653,16.904223026287138, (sqrt(cos(_a8_)) ** _a9_)
16.7451010913929,10.270904593006762, sin(tan(_a9_))
50.8259171828772,16.904223026287138, exp(tanh((_a8_ * _a2_)))
61.8560013298439,16.904223026287138, fac((abs(_a8_) / _a8_))
17.5464590965719,13.266636866560754, (tan(_a7_) + _a1_)
152.677722922551,19.899955299841128, ((_a7_ ** _a4_) / tanh(_a2_))
25.3744353672694,20.541809186013523, pow2(sqrt((_a9_ * cosh(_a0_))))
85.5651867600258,48.35879069147982, (pow3(pow2(cosh(sin(exp(_a0_))))) * (_a6_ ** (exp(tanh(_a0_)) + _a6_)))
29.7804068741046,10.912758479179157, log(tanh(x))
77.1299974767896,57.98784139831419, ((((_a7_ ** _a4_) + _a6_) / cosh(cosh(pow2((_a2_ / _a8_))))) * (x / sin(_a9_)))
44.1566554736323,19.899955299841128, (abs((_a5_ + _a9_)) ** _a2_)
43.8709106154863,20.541809186013523, (abs(exp(_a1_)) * pow2(_a8_))
56.8540554077367,27.1751276192939, (abs((_a8_ ** _a2_)) / sqrt(cosh(_a8_)))
25.1077063418064,17.546076912459533, exp(log(sin(sin(_a9_))))
34.8475535271793,30.812713779020285, (_a0_ * (pow2(pow3(_a3_)) + cos(pow2(_a1_))))
43.2627823570618,17.546076912459533, (sin(fac(x)) ** _a7_)
65.3630956203206,13.908490752733147, cosh(sinh(abs(_a9_)))
44.6018550254514,20.541809186013523, sqrt((pow3(_a4_) + pow2(_a8_)))
10.1279919087794,6.633318433280377, tan(_a3_)
67.0293907188903,40.441764485854655, (_a1_ ** ((_a0_ + _a5_) + (abs(pow2(_a0_)) * abs(_a7_))))
28.2162589708580,10.270904593006762, (_a5_ ** x)
46.1943766917078,16.904223026287138, sinh((tanh(_a7_) / _a1_))
15.5223400240274,16.262369140114743, (_a0_ * (_a1_ ** _a4_))
16.9786750674394,13.266636866560754, (fac(_a2_) + _a7_)
22.7922179468001,16.904223026287138, (tan(_a8_) / exp(_a5_))
29.8281974870553,20.541809186013523, sin(cos((_a6_ + tanh(_a2_))))
35.3420653721255,27.1751276192939, cos(((_a8_ ** pow3(cos(_a0_))) / _a7_))
48.1631104139115,20.541809186013523, pow2(sin((tan(_a9_) / _a1_)))
20.4053904541543,16.904223026287138, log((sin(_a8_) / _a4_))
21.7662728662425,20.541809186013523, log((exp(-(_a6_)) * _a2_))
64.8364401596976,27.816981505466295, (tanh(log(fac(abs(tan(_a0_))))) / _a5_)
31.4807769605071,13.266636866560754, (pow2(_a8_) * _a3_)
39.5189935417210,10.912758479179157, log(fac(x))
